"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"October 4, 2015",Tennessee,Clarksville,"900 block of Princeton Drive",1,1,N/A
"October 3, 2015",Tennessee,"White Pine","Robin Road",1,0,N/A
"October 2, 2015",Nevada,"Las Vegas","7200 block of Hardtack Circle",3,0,N/A
"October 1, 2015",Ohio,Cleveland,"East 143rd Street and Kinsman Road",1,0,N/A
"September 29, 2015",Missouri,Eureka,"4901 Six Flags Road",2,0,N/A
"September 27, 2015","North Carolina",Wilmington,N/A,2,2,N/A
"September 25, 2015",Texas,Houston,"6500 Block of Narcissus",1,1,N/A
"September 19, 2015",Indiana,Indianapolis,"3900 block of Graceland Avenue",1,3,N/A
"September 19, 2015",Ohio,Medina,N/A,3,0,N/A
"September 18, 2015",Utah,"Salt Lake City","639 N. Sir Philip Dr.",3,0,N/A
"September 17, 2015","South Dakota",Platte,"36705 379th Street",6,0,N/A
"September 15, 2015",Ohio,Cleveland,"East 113th Street and Regalia",1,1,N/A
"September 13, 2015",California,Greenwood,"4600 block of Highway 193",3,0,N/A
"September 8, 2015",Missouri,"Kansas City","East 84th Street and Hillcrest Road",3,0,N/A
"September 6, 2015",Texas,"Fort Worth","3600 block of Mountcastle Drive",2,0,N/A
"September 5, 2015","North Carolina",Charlotte,"Fieldvale Dr.",1,3,N/A
"September 5, 2015",Missouri,"Kansas City","400 block of North Elmwood Avenue",1,0,N/A
"September 4, 2015",Alabama,Eutaw,"Baron Road",1,0,N/A
"September 4, 2015",Ohio,Cleveland,"2300 block of Louise Harris Drive",1,0,N/A
"September 2, 2015",Illinois,Chicago,"7400 block of South St. Lawrence Avenue",1,0,N/A
"September 1, 2015","New Jersey","Long Branch","245 Joline Avenue",4,0,N/A
"September 1, 2015",Pennsylvania,Pittsburgh,"Sandusky Court",1,0,N/A
"August 27, 2015",Indiana,"Henry (county)","5500 block of West Old National Road",3,0,N/A
"August 25, 2015",Missouri,"Saint Louis (Hanley Hills)","7700 block of Utica Drive",1,0,N/A
"August 23, 2015",Virginia,Hardy,"Heatherton Lane",1,0,N/A
"August 18, 2015",Missouri,"Saint Louis (Ferguson)","9200 block of Ellison",1,1,N/A
"August 10, 2015",Michigan,Flint,"200 block of W. Home Avenue",2,0,N/A
"August 8, 2015","North Carolina",Statesville,"162 Trent Road",3,0,N/A
"August 8, 2015",Texas,Houston,"2211 Falling Oaks",8,0,N/A
"August 5, 2015",Mississippi,Mccomb,"200 block of McComb Street",1,0,N/A
"August 5, 2015",Alaska,Anchorage,"4000 block of Olympic Terrace Circle",1,0,N/A
"August 3, 2015",Michigan,Detroit,"16000 Block of Eastwood",1,0,N/A
"August 3, 2015",Texas,Longview,"2500 block of North Eastman Road",1,0,N/A
"July 30, 2015",Texas,Houston,"8442 Tavenor Lane",1,0,N/A
"July 29, 2015","District of Columbia",Washington,"600 block of 46th Place SE",1,0,N/A
"July 29, 2015",California,Highland,"7200 block of McKinley Avenue",1,0,N/A
"July 23, 2015",Washington,Shelton,"700 block of East Road of Tralee",2,0,N/A
"July 23, 2015",Michigan,"Antrim (county)","Tobias Road",1,0,N/A
"July 22, 2015",Georgia,Suwanee,"5500 block of Old Atlanta Road",4,1,N/A
"July 18, 2015",Florida,"Polk (county)",N/A,2,0,N/A
"July 17, 2015",Louisiana,Shreveport,"200 block of Prospect Street",1,0,N/A
"July 17, 2015",Maryland,Baltimore,"8900 block of Yvonne Ave",3,0,N/A
"July 17, 2015",Washington,Bellingham,"5056 Noon Road",2,1,N/A
"July 16, 2015",Virginia,Roanoke,"3100 block of Oakland Boulevard NW",1,1,N/A
"July 15, 2015",Missouri,"Kansas City","3100 block of Spruce",1,0,N/A
"July 8, 2015",Louisiana,Marksville,"Louisiana Highway 1196",2,0,N/A
"July 6, 2015",Kansas,Topeka,"SE Golf Park Boulevard and SE Fremont",1,0,N/A
"July 5, 2015",Texas,Spring,"19000 block of Puget Lane",1,0,N/A
